MKT-01|marketing|plan_campaign tool|As a label operator, I want to plan a marketing campaign for a release by expanding the template, so that the campaign has ordered steps.|Accepts releaseId + optional budgetCents; expands the deterministic template into 5 steps with status planned; persists to admin-only campaigns collection; returns campaign with id and steps in template order.|functions/src/app/marketing/tools.ts:104-124; functions/src/app/marketing/campaign.ts:87-104
MKT-02|marketing|generate_campaign_copy tool|As a campaign operator, I want to generate on-brand copy for a campaign step, so that the messaging is consistent and disclosed.|Accepts releaseId + step kind; deterministically generates templated copy for announce/preview/playlist_pitch/email/ad_spend, always including AI-generated disclosure; no LLM call.|functions/src/app/marketing/tools.ts:126-139; functions/src/app/marketing/copy.ts:35-70
MKT-03|marketing|schedule_campaign tool|As a campaign operator, I want to schedule planned steps with a base time and cadence, so that steps fire autonomously.|Accepts campaignId, baseTime (ISO-8601), optional cadenceDays (default 1); computes each step firing time; schedules via injected Scheduler; persists step times + campaign status scheduled.|functions/src/app/marketing/tools.ts:146-165; functions/src/app/marketing/scheduling.ts:84-115
MKT-04|marketing|publish_social_post tool (CONSEQUENTIAL)|As a label operator, I want to publish a social post to a platform, so that the release is announced publicly.|Accepts platform, message, optional assetPath; checks approval gate (CONSEQUENTIAL_TOOLS); calls injected SocialChannel.post(); no live post without approval.|functions/src/app/marketing/tools.ts:176-194; functions/src/app/marketing/channels.ts:100-103
MKT-05|marketing|send_email_blast tool (CONSEQUENTIAL)|As a label operator, I want to send an email to an audience segment, so that subscribers are notified.|Accepts segment, subject, body; checks approval gate; calls injected EmailChannel.send(); no live send without approval.|functions/src/app/marketing/tools.ts:201-218; functions/src/app/marketing/channels.ts:106-108
MKT-06|marketing|marketing_spend tool (CONSEQUENTIAL)|As a label operator, I want to place paid ad spend on a platform, so that the release gets promotional reach.|Accepts platform, budgetCents, currency, objective; checks approval gate; calls injected AdChannel.spend(); no live spend without approval.|functions/src/app/marketing/tools.ts:226-244; functions/src/app/marketing/channels.ts:116-118
POL-01|polar|createCheckout service|As a customer, I want to create a checkout for a music_download product, so that I can purchase it.|Accepts productId; resolves Firestore product; looks up polarProductId/polarPriceId; calls injected PolarClient.createCheckout(); returns checkoutUrl + checkoutId.|functions/src/app/polar/checkout.ts:23-43; functions/src/index.ts:89-97
POL-02|polar|polarWebhook handler|As the Polar system, I want to notify of paid orders, so that entitlements are granted.|Receives Standard Webhooks event; verifies HMAC-SHA256 signature; extracts order data; calls handlePolarWebhook; persists paid order to orders collection; returns 200 {handled}.|functions/src/app/polar/webhook.ts:143-166; functions/src/index.ts:100-123
POL-03|polar|mintDownloadUrl entitlement|As a customer with a paid order, I want to download a track from my purchase, so that I own the audio file.|Accepts orderId, trackId; verifies order is PAID and unlocks the track's release; calls injected signer to mint time-limited GCS signed URL (default 15 min); returns url + disclosure + license text.|functions/src/app/polar/entitlement.ts:91-145
GW-01|gateway|adminCreateArtist callable|As a label owner, I want to create an artist profile, so that I can manage their releases.|EXPORTED (index.ts:37). Accepts artist id/name/bio/photoPath/links; verifies admin auth; persists to artists collection; returns Artist.|functions/src/app/gateway/adminApi.ts:460-471; functions/src/index.ts:37
GW-02|gateway|adminCreateRelease callable|As a label owner, I want to create a release for an artist, so that I can plan distribution and marketing.|EXPORTED (index.ts:38). Accepts release id/artistId/title/catalogNumber/type/releaseDate; verifies admin; sets aiGenerated=true; persists to releases collection.|functions/src/app/gateway/adminApi.ts:473-486; functions/src/index.ts:38
GW-03|gateway|adminCreateProduct callable|As a label owner, I want to create a sellable product linked to a release, so that customers can purchase.|EXPORTED (index.ts:39). Accepts product id/type/title/priceCents/currency/releaseId/polarProductId/polarPriceId; verifies admin; persists to products collection.|functions/src/app/gateway/adminApi.ts:488-502; functions/src/index.ts:39
GW-04|gateway|adminListOrders callable|As a label owner, I want to view all paid orders, so that I can track D2C sales.|EXPORTED (index.ts:40). Verifies admin; reads and returns all orders (read-only).|functions/src/app/gateway/adminApi.ts:504-507; functions/src/index.ts:40
GW-05|gateway|adminSetIdentifiers callable|As a label owner, I want to set UPC, credits, and per-track ISRCs, so that distribution metadata is complete.|EXPORTED (index.ts:63). Accepts releaseId + optional upc/credits/trackIsrcs; verifies admin; validates identifiers; persists to release + tracks; returns {release, tracks}.|functions/src/app/gateway/adminApi.ts:520-542; functions/src/index.ts:63
GW-06|gateway|adminSetOwnershipSplits callable|As a label owner, I want to set sensitive ownership splits for a release, so that royalties route correctly.|EXPORTED (index.ts:64). Accepts releaseId + splits; verifies admin; validates splits sum to 100; writes ONLY to admin-only rights collection; returns RightsRecord.|functions/src/app/gateway/adminApi.ts:563-576; functions/src/index.ts:64
GW-07|gateway|adminIngestMaster callable|As a label owner, I want to upload a track master to private Storage, so that it is secured for distribution.|EXPORTED (index.ts:66). Accepts trackId, masterPath, contentBase64; verifies admin; uploads to PRIVATE Storage; records in track_masters with content SHA-256; returns {trackId, masterPath, contentSha256}.|functions/src/app/gateway/adminApi.ts:608-621; functions/src/index.ts:66
GW-08|gateway|adminGeneratePreview callable|As a label owner, I want to generate a 30s preview clip from the master, so that customers hear a sample.|EXPORTED (index.ts:67). Accepts trackId, previewClipPath, masterContentBase64; verifies admin; encodes via injected encoder; uploads to PUBLIC Storage; updates track previewClipPath.|functions/src/app/gateway/adminApi.ts:634-650; functions/src/index.ts:67
GW-09|gateway|adminSetProvenance callable|As a label owner, I want to set AI-generation provenance for a track, so that buyers know it was AI-created.|EXPORTED (index.ts:68). Accepts trackId, generator, model, disclosure, contentBase64; verifies admin; creates C2PA-style record with SHA-256 binding; persists to provenance collection.|functions/src/app/gateway/adminApi.ts:656-670; functions/src/index.ts:68
GW-10|gateway|adminScheduleRelease callable|As a label owner, I want to schedule a release for distribution, so that it is queued for DSP delivery.|EXPORTED (index.ts:41). Accepts releaseId, scheduledAt; verifies admin; validates release exists; persists DistributionRecord status scheduled (non-consequential).|functions/src/app/gateway/adminApi.ts:684-694; functions/src/index.ts:41
GW-11|gateway|adminDeliverRelease callable (CONSEQUENTIAL)|As a label owner, I want to deliver a scheduled release to DSPs, so that it is distributed.|EXPORTED (index.ts:42). Accepts releaseId, approved=true (schema-required); verifies admin; checks DISTRIBUTOR_API_TOKEN bound at deploy; calls DdexDistributorClient; persists status delivered; no delivery without approval.|functions/src/app/gateway/adminApi.ts:704-715; functions/src/index.ts:42
GW-12|gateway|adminListDistributions callable|As a label owner, I want to see distribution status for all releases, so that I know which are scheduled/delivered.|EXPORTED (index.ts:43). Verifies admin; reads all DistributionRecords; joins with release titles; returns DistributionStatusRow[] (read-only).|functions/src/app/gateway/adminApi.ts:727-738; functions/src/index.ts:43
GW-13|gateway|adminListStatements callable|As a label owner, I want to view royalty statements by period/artist, so that I can track earnings.|EXPORTED (index.ts:70). Verifies admin; optionally filters by artistId; reads and returns all RoyaltyStatements (read-only).|functions/src/app/gateway/adminApi.ts:871-877; functions/src/index.ts:70
GW-14|gateway|adminIngestRevenue callable|As a label owner, I want to ingest revenue from Polar sales + optional fixtures, so that royalties are calculated.|EXPORTED (index.ts:69). Accepts period, optional productReleaseMap/distributorEvents/proEvents; verifies admin; always pulls local Polar orders; optionally ingests deterministic fixtures; NO live revenue API called.|functions/src/app/gateway/adminApi.ts:840-852; functions/src/index.ts:69
GW-15|gateway|adminGenerateStatement callable|As a label owner, I want to generate a per-artist royalty statement for a period, so that payouts are reconciled.|EXPORTED (index.ts:71). Accepts artistId, period, optional deductionsCents/payeeName; verifies admin; computes net = gross - deductions; persists RoyaltyStatement.|functions/src/app/gateway/adminApi.ts:855-868; functions/src/index.ts:71
GW-16|gateway|adminProposePayout callable|As a label owner, I want to propose a payout for a statement, so that the artist can be paid.|EXPORTED (index.ts:72). Accepts artistId, statementId, optional currency; verifies admin; reads statement; creates Payout status proposed (no live payment).|functions/src/app/gateway/adminApi.ts:885-893; functions/src/index.ts:72
GW-17|gateway|adminRegisterWork callable|As a label owner, I want to register a composition in the publishing registry, so that it can be tracked for sync licensing.|EXPORTED (index.ts:73). Accepts id, title, optional iswc/linkedIsrcs; verifies admin; validates identifiers; persists to PUBLIC works collection.|functions/src/app/gateway/adminApi.ts:906-919; functions/src/index.ts:73
GW-18|gateway|adminSetWriterSplits callable|As a label owner, I want to set sensitive writer splits for a composition, so that royalties route to writers.|EXPORTED (index.ts:74). Accepts workId, splits; verifies admin; validates splits sum to 100; writes ONLY to admin-only work_splits collection.|functions/src/app/gateway/adminApi.ts:922-933; functions/src/index.ts:74
GW-19|gateway|adminRegisterProAffiliation callable|As a label owner, I want to register a writer's PRO/MLC affiliation, so that royalties can be collected.|EXPORTED (index.ts:75). Accepts writerId, pro, optional ipi/memberId; verifies admin; checks PRO_API_TOKEN bound at deploy; calls injected ProRegistrar; persists ProAffiliation.|functions/src/app/gateway/adminApi.ts:941-958; functions/src/index.ts:75
GW-20|gateway|adminAddToSyncCatalog callable|As a label owner, I want to add a recording to the sync catalog, so that it is available for licensing.|EXPORTED (index.ts:76). Accepts recordingId, workId, title, optional available; verifies admin; persists to PUBLIC sync_catalog collection.|functions/src/app/gateway/adminApi.ts:961-974; functions/src/index.ts:76
GW-21|gateway|adminRequestSyncLicense callable|As a licensee, I want to request a sync license for a recording, so that it can be used in media.|EXPORTED (index.ts:77). Accepts id, recordingId, workId, licensee, mediaType, territory, termMonths, feeCents; verifies admin; persists sync_licenses status requested.|functions/src/app/gateway/adminApi.ts:977-994; functions/src/index.ts:77
GW-22|gateway|adminClearSyncLicense callable|As a label owner, I want to verify a requested sync license is complete, so that I can issue it.|EXPORTED (index.ts:78). Accepts licenseId; verifies admin; checks recording + work exist; updates status cleared.|functions/src/app/gateway/adminApi.ts:997-1005; functions/src/index.ts:78
GW-23|gateway|adminIssueSyncLicense callable (CONSEQUENTIAL)|As a label owner, I want to issue a cleared sync license, so that the licensee can legally use the composition.|EXPORTED (index.ts:79). Accepts licenseId, approved=true (schema-required); verifies admin; reads cleared license; stamps placeholder text; sets status issued; no issuance without approval.|functions/src/app/gateway/adminApi.ts:1013-1021; functions/src/index.ts:79
GW-24|gateway|adminPlanCampaign callable|As a campaign operator, I want to plan a release campaign from the admin console, so that marketing is coordinated.|EXPORTED (index.ts:48). Accepts releaseId, optional budgetCents/campaignId; verifies admin; expands template; persists campaign status planned.|functions/src/app/gateway/adminApi.ts:1035-1046; functions/src/index.ts:48
GW-25|gateway|adminScheduleCampaign callable|As a campaign operator, I want to schedule planned steps from the admin console, so that they fire autonomously.|EXPORTED (index.ts:49). Accepts campaignId, baseTime, optional cadenceDays; verifies admin; schedules via injected scheduler; persists step times + status scheduled.|functions/src/app/gateway/adminApi.ts:1054-1068; functions/src/index.ts:49
GW-26|gateway|adminListCampaigns callable|As a campaign operator, I want to view all campaigns from the admin console, so that I can track status.|EXPORTED (index.ts:50). Verifies admin; reads and returns all Campaign records (read-only).|functions/src/app/gateway/adminApi.ts:1071-1074; functions/src/index.ts:50
GW-27|gateway|adminPublishSocialPost callable (CONSEQUENTIAL)|As a label owner, I want to publish a social post from the admin console, so that the release is announced.|EXPORTED (index.ts:51). Accepts platform, message, optional assetPath, approved=true; verifies admin; checks SOCIAL_API_TOKEN bound at deploy; calls injected SocialChannel; logs marketing_events; no post without approval.|functions/src/app/gateway/adminApi.ts:1083-1102; functions/src/index.ts:51
GW-28|gateway|adminSendEmailBlast callable (CONSEQUENTIAL)|As a label owner, I want to send an email blast from the admin console, so that subscribers are notified.|EXPORTED (index.ts:52). Accepts segment, subject, body, approved=true; verifies admin; checks EMAIL_API_TOKEN bound at deploy; calls injected EmailChannel; logs marketing_events; no send without approval.|functions/src/app/gateway/adminApi.ts:1109-1128; functions/src/index.ts:52
GW-29|gateway|adminMarketingSpend callable (CONSEQUENTIAL)|As a label owner, I want to place paid ad spend from the admin console, so that the release is promoted.|EXPORTED (index.ts:53). Accepts platform, budgetCents, currency, objective, approved=true; verifies admin; checks ADS_API_TOKEN bound at deploy; calls injected AdChannel; logs marketing_events; no spend without approval.|functions/src/app/gateway/adminApi.ts:1136-1156; functions/src/index.ts:53
GW-30|gateway|adminIngestAnalytics callable|As a label owner, I want to ingest analytics from Polar sales + optional DSP stats, so that performance is tracked.|EXPORTED (index.ts:54). Accepts period, optional productReleaseMap/dspStats; verifies admin; always pulls Polar orders; optionally ingests deterministic DSP fixtures; NO live analytics API called.|functions/src/app/gateway/adminApi.ts:1174-1185; functions/src/index.ts:54
GW-31|gateway|adminGenerateInsights callable|As a label owner, I want to generate insight reports on performance, so that I understand what resonates.|EXPORTED (index.ts:55). Accepts period, optional priorPeriod; verifies admin; generates deterministic InsightReport (read-only); persists and returns.|functions/src/app/gateway/adminApi.ts:1188-1194; functions/src/index.ts:55
GW-32|gateway|adminRecommendNextActions callable|As a label owner, I want A&R recommendations (proposals only), so that I can guide creative decisions.|EXPORTED (index.ts:56). Accepts period, optional priorPeriod; verifies admin; derives AnrRecommendation list; persists and returns (no consequential action triggered).|functions/src/app/gateway/adminApi.ts:1197-1203; functions/src/index.ts:56
GW-33|gateway|adminListRecommendations callable|As a label owner, I want to view stored A&R recommendations, so that I can track what was suggested.|EXPORTED (index.ts:57). Verifies admin; reads and returns all AnrRecommendation records (read-only).|functions/src/app/gateway/adminApi.ts:1206-1211; functions/src/index.ts:57
