ID,Module,Feature,UserStory,ExpectedBehavior,CodeRefs,P1_StoryStatus,P2_TestStatus,ErrorsFound,P3_FixStatus,P4_RetestStatus,Notes
AGT-01,agent,create_checkout agent tool,"As the lead agent, I want to create a Polar checkout for a product, so that customers can purchase.",Accepts productId; resolves Firestore product; calls injected PolarClient.createCheckout(); returns checkoutUrl + checkoutId; NOT consequential (agent can call without approval).,functions/src/app/agent/leadAgent.ts:91-102,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
AGT-02,agent,consequential approval gate,"As the lead agent, I want to request approval before executing consequential actions, so that humans can review/block dangerous operations.","CONSEQUENTIAL_TOOLS = [deliver_release, initiate_payout, issue_sync_license, marketing_spend, publish_social_post, send_email_blast]; when approval context supplied, ApprovalGate blocks these tools; agent awaits adminApprove before retry; non-consequential tools pass through.",functions/src/app/agent/leadAgent.ts:73-80; functions/src/app/gateway/adminApi.ts:231-238,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
AGT-03,agent,write_plan agent tool,"As the lead agent, I want to write/update its working plan, so that complex multi-step tasks are coordinated.",Injected tool from harness; mutates PlanState; used to break down multi-step workflows; not gated.,functions/src/app/agent/leadAgent.ts:223,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
ANL-01,analytics,Ingest D2C Sales Analytics,"As a label analyst, I want to pull D2C sales metrics from Polar orders into analytics events for a period, so that I can measure sales performance.","Reads Firestore orders mirror; filters to paid orders; maps products to releases; emits units (value=1) + revenue_cents per order; idempotent on (orderId, metric); stores in admin-only analytics_events collection; read-only.",functions/src/app/analytics/ingest.ts:173-211; functions/src/app/analytics/tools.ts:53-72,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
ANL-02,analytics,Ingest DSP Stats Analytics (stub),"As a label operator, I want to ingest streaming stats (streams/listeners/saves) from DSP, so that I can assess listener engagement.",Real stub reads DSP_STATS_API_TOKEN from env; throws without it; never invoked in tests; deterministic fake class included for gates; emits one event per metric.,functions/src/app/analytics/ingest.ts:122-154; functions/src/app/analytics/ingest.ts:225-241,STORY_DONE,BLOCKED_OWNER,,N/A,BLOCKED_OWNER,Deterministic fake ingest tested; real path needs DSP_STATS_API_TOKEN at handoff.
ANL-03,analytics,Generate Insight Report,"As a label analyst, I want to aggregate a period's analytics into a deterministic summary with rankings/growth, so that I can make data-driven decisions.","Pure function; sums events by source/metric; ranks releases by streams/revenue (desc, ties by releaseId asc); computes period-over-period growth (integer permille); deterministic; stores to insight_reports/{period}; read-only.",functions/src/app/analytics/insights.ts:154-175; functions/src/app/analytics/insights.ts:212-235,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
ANL-04,analytics,Recommend A&R Actions,"As a label A&R team, I want deterministic proposals for next actions based on streaming/revenue patterns, so that I can prioritize creative strategy.",Pure function; overperformers (streams ge 1.5x avg) yield follow_up_single; underperformers (le 0.5x avg) yield marketing_push; top-revenue release yields deepen_d2c; all proposals inert (never trigger release/spend/payout); deterministic ordering; stores to anr_recommendations; read-only.,functions/src/app/analytics/anr.ts:72-101; functions/src/app/analytics/anr.ts:175-189,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-01,distribution,schedule_release tool,"As an agent, I want to schedule a release for DSP distribution, so that I can plan delivery.",Records a distributions/{releaseId} doc with status scheduled and the requested scheduledAt timestamp (ISO-8601). Verifies the release exists first. Does not deliver anything.,functions/src/app/distribution/tools.ts:34-45; release.ts:45-63,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-02,distribution,request_distribution tool,"As an agent, I want to prepare a release for distribution without delivering, so that I can verify its readiness.","Builds a DDEX ERN from the release/tracks/artist, validates it structurally (well-formed XML, required elements present), and reports READY to deliver or lists missing/invalid UPC/ISRC fields. Does NOT call the distributor.",functions/src/app/distribution/tools.ts:47-78; release.ts:97-153; ddex.ts:103-222,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
DST-03,distribution,deliver_release (CONSEQUENTIAL),"As a human approver via adminDeliverRelease, I want to deliver a release to DSPs after verifying it, so that music goes live.","Checks approved=true (throws APPROVAL_REQUIRED if false), runs compliance gate (aiGenerated/provenance per track/ownership splits sum 100/ACTIVE artist agreement with AI consent), builds and validates DDEX ERN, submits to injected DistributorClient, mirrors deliveryId/status into distributions/{releaseId} record.",functions/src/app/distribution/release.ts:97-153; store.ts:51-92,STORY_DONE,TEST_PASS,,N/A,VERIFIED,
